affiliate_id,affiliate_name,candidate
121,LiPetri for Congress,Mike Bloomberg
122,McDonald for PSC,Donald Trump
123,"Friends to Elect Joel Agron, Judge of the Superior Court, Office 1, County of San Bernardino, 2020",Joe Biden
124,FRIENDS OF ANDREW BALES FOR CONGRESS,Andrew Yang
128,Andrew Warren for State Attorney,Elizabeth Warren
129,Friends of Peter Franchot,Pete Buttigieg
130,Michael Thomas Murphy,Mike Bloomberg
131,Joeletta Barrentine for Circuit Judge,Joe Biden
132,Committee to Elect Joel Levy,Joe Biden
133,Joe Baghdadlian for City Council 2020,Joe Biden
134,Excital,Donald Trump
135,Mike Rawlins Campaign,Mike Bloomberg
136,"Voices of Health Care Action, a project of Gamechanger Networks",Donald Trump
137,Vote Nurses Values PAC,Bernie Sanders
138,Alexander Quinn Urbach,Donald Trump
139,Citizens for Lentol,Joe Biden
140,Great American Era,Donald Trump
141,Friends of Joe Duplechin,Joe Biden
142,Citizens for Turner,Mike Bloomberg
144,Friends of Peter Schweyer,Pete Buttigieg
145,McDonald for Georgia,Donald Trump
146,FRANKEN FOR IOWA,Mike Bloomberg
147,Jose Luis Lopez,Joe Biden
148,DOYLE FOR CONGRESS COMMITTEE,Mike Bloomberg
149,THE DEMOCRATIC COALITION,Donald Trump
150,Friends of Cabonargi,Mike Bloomberg
151,Mike Williams for Congress,Mike Bloomberg
152,Elect Ballard Circuit Judge Campaign,Andrew Yang
153,Representative Mike Doyle,Mike Bloomberg
154,ROMANOFF FOR COLORADO,Andrew Yang
155,PETE KING FOR CONGRESS COMMITTEE,Pete Buttigieg
157,GETYOUNGANDNOBLEGERBILBUCKS (GETYANGBUCKS),Andrew Yang
159,Rep. Joe Bellino,Joe Biden
160,Roberto None Lugo,Donald Trump
162,Johns Hopkins Bloomberg School of Public Health,Mike Bloomberg
163,Joe Perkins for Circuit Judge Campaign Committee,Joe Biden
164,St. Martin's Press,Bernie Sanders
165,Rep. Mike Mueller,Mike Bloomberg
166,Mike Regan For Senate,Mike Bloomberg
167,Knaggs for Congress,Andrew Yang
168,Eric Clifford Juels,Donald Trump
169,Peter Gallotta for San Francisco Democratic County Central Committee 2020,Pete Buttigieg
170,Congressman Mike Bost,Mike Bloomberg
171,PETE STAUBER FOR CONGRESS,Pete Buttigieg
172,JOE COLLINS FOR CONGRESS,Joe Biden
173,Friends for Mike LiPetri,Mike Bloomberg
174,Friends of Beth Walsh,Elizabeth Warren
175,Peter Milton Amundson,Pete Buttigieg
176,Richard Carlton Carlton Daley,Donald Trump
177,"Friends of Andrew Koenig, Brooke Koenig, Treasurer",Andrew Yang
178,The Daily Trumplican LLC,Donald Trump
179,Congressman Pete Stauber,Pete Buttigieg
180,"Simpson for Congress, T. Layne Van Orden, Treasurer",Mike Bloomberg
181,Committee to Elect Peter McClelland,Pete Buttigieg
183,Dora Louise Collier,Donald Trump
184,MIKE BRAUN FOR INDIANA,Mike Bloomberg
185,Mike Nemes for State Senate,Mike Bloomberg
186,Alexander Joseph Dooling,Joe Biden
187,Navarro for City Council. Authorized by Joel Navarro.,Joe Biden
189,Sanderson Farms Corporate,Bernie Sanders
190,Deters for Ohio's Future,Joe Biden
191,Friends of Mike Martucci,Mike Bloomberg
192,Brett Simberkoff,Donald Trump
194,FRIENDS OF JOE CAL,Joe Biden
195,Philip Charles Colwell,Donald Trump
196,Mike Welsh Campaign,Mike Bloomberg
197,Trump Roast,Donald Trump
198,Richard Edwin Bennett,Donald Trump
199,Kotyuk for State Assembly 2020,Andrew Yang
200,Joseph M. Baldacci,Joe Biden
201,Re-Elect Joe Daughtery,Joe Biden
202,LA City Council District 15 - Joe Buscaino,Joe Biden
203,"Joevahn ""Joe"" Scott, Democrat for Supervisor of Elections",Joe Biden
204,FRIENDS OF JOE REYNOLDS,Joe Biden
205,the Office of Rep. Mike Gallagher,Mike Bloomberg
206,Stephen Michael Vance,Mike Bloomberg
207,Rashad Jafarli,Donald Trump
208,MIKE PARRISH FOR SENATE 2020,Mike Bloomberg
209,Lois Nancy Epstein,Donald Trump
210,Jonathan Q. Warren for Circuit Judge,Elizabeth Warren
211,Jeremy Wayne Boyts,Donald Trump
212,Amundson for City Council 2020,Pete Buttigieg
213,Jade James Velazquez,Pete Buttigieg
214,Warren for Judge,Elizabeth Warren
216,Phillip Peters For Supervisor 2020,Pete Buttigieg
218,Byron Donalds for Congress,Donald Trump
219,Trump2020 Coffee,Donald Trump
220,Missourians For Mike Cierpiot,Mike Bloomberg
221,Stuart Craig Snyder,Donald Trump
222,HELDUT FOR CONGRESS,Andrew Yang
223,Andrew Mendez For Azusa City Council,Andrew Yang
224,bernie2020merchandise.com,Bernie Sanders
225,Elizabeth for Texas,Elizabeth Warren
227,LANGLOIS FOR CONGRESS,Joe Biden
229,Janz for Mayor 2020,Andrew Yang
230,Committee to Elect Sanders Judge,Bernie Sanders
231,COURTNEY FOR CONGRESS,Joe Biden
232,"ANDREW W. MELLON FOUNDATION, THE",Andrew Yang
233,Office of the Governor,Mike Bloomberg
234,Friends of Janet Yang Rohr,Andrew Yang
235,Committee to Elect Michael Varner,Mike Bloomberg
236,"Clip N Sip, LLC",Donald Trump
237,William Gibson Carothers,Donald Trump
240,Beau Biden Foundation for the Protection of Children,Joe Biden
241,Friends of Peter Burgelis,Pete Buttigieg
242,Michael Ray Gardner,Mike Bloomberg
243,Joe Ayoub Campaign,Joe Biden
244,Red Massachusetts Grassroots Action,Andrew Yang
245,Betancourt for Assembly,Elizabeth Warren
246,NEWBY FOR CONGRESS,Joe Biden
247,JUDGE MIKE ENGELHART CAMPAIGN,Mike Bloomberg
248,Benjamin Joseph Stuart,Bernie Sanders
249,Congressman Joe Courtney (CT-02),Joe Biden
250,"BUREAU OF NATIONAL AFFAIRS, INC., THE",Mike Bloomberg
251,Todd R. Lockwood Works,Bernie Sanders
252,Michael T Berger,Mike Bloomberg
253,Robert Bruce Mccoy,Donald Trump
254,The Donald,Donald Trump
255,PETE SESSIONS FOR CONGRESS,Pete Buttigieg
256,Joey Spellerberg for Mayor % Joey Spellerberg,Joe Biden
257,Nora Jean Brathol,Joe Biden
258,President Trump Fan Page,Donald Trump
259,Friends of Mike Chapman for Sheriff,Mike Bloomberg
260,Office of Rep. Collin Peterson,Pete Buttigieg
261,Joe  Dacy,Joe Biden
262,Mike Diaz for Chula Vista City Council 2020,Mike Bloomberg
264,Office of Congressman Joe Neguse,Joe Biden
265,Friends of Peter Kotses,Pete Buttigieg
266,Dump Trump Drip,Donald Trump
267,Thomas Michael Johnson,Mike Bloomberg
269,Committee to Elect Pete Ottesen County Board of Education 2020,Pete Buttigieg
270,Navarre for Sheriff,Mike Bloomberg
271,Karen McDonald for Prosecutor,Donald Trump
272,"Mike Carroll - Vice Mayor, City of Irvine",Mike Bloomberg
273,Joe Queen,Joe Biden
275,Robert William Zagby,Donald Trump
276,Mike Gleason for Williamson County Sheriff,Mike Bloomberg
